Book Name,Author,Rating,Customers_Rated,Price
Karma: A Yogi's Guide to Crafting Your Destiny,Sadhguru,4.8 out of 5 stars,27,₹ 264.00
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,"21,603",₹ 399.00
Ikigai: The Japanese secret to a long and happy life,Héctor García,4.6 out of 5 stars,"13,498",₹ 295.00
My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing),Wonder House Books,4.4 out of 5 stars,"4,864",₹ 89.00
Indian Polity - For Civil Services and Other State Examinations | 6th Edition,M. Laxmikanth,4.6 out of 5 stars,"8,224",₹ 625.00
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for…",Sudha Murty,4.6 out of 5 stars,"4,991",₹ 198.00
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,4.5 out of 5 stars,"5,790",₹ 299.00
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.6 out of 5 stars,"39,474",₹ 302.00
"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write and Practice Capital Letters, Small Letters, Patterns and…",Wonder House Books,4.4 out of 5 stars,"2,499",₹ 159.00
The Psychology of Money,Morgan Housel,4.6 out of 5 stars,"8,519",₹ 350.00
The Alchemist,Paulo Coelho,4.6 out of 5 stars,"51,472",₹ 198.00
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.4 out of 5 stars,"11,271",₹ 439.00
Very First Sight Words Sentences Level - 1,Dreamland Publications,4.5 out of 5 stars,"3,034",₹ 108.00
The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"30,315",₹ 119.00
Picture Books Collection for Early Learning (Set of 12),E C Axus,4.2 out of 5 stars,"5,652",₹ 235.00
Atomic Habits: The life-changing million copy bestseller,James Clear,4.6 out of 5 stars,"18,016",₹ 646.00
1001 Activities Book,Dreamland Publications,4.5 out of 5 stars,"3,946",₹ 240.00
26 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2020) 11th Edition,Mrunal Patel,4.5 out of 5 stars,"1,672",₹ 327.00
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6 out of 5 stars,"7,194",₹ 158.00
Concept of Physics Part-1 (2019-2020 Session) by H.C Verma,H.C. Verma,4.6 out of 5 stars,"5,098",₹ 347.00
One Arranged Murder,Chetan Bhagat,4.3 out of 5 stars,"8,444",₹ 152.00
Oxford Student Atlas for India - Third Edition,Oxford University Press,4.6 out of 5 stars,"5,159",₹ 231.00
101 Brain Booster Activity Book: Fun Activity Book For Children,Wonder House Books,4.4 out of 5 stars,992,₹ 129.00
Mathematics for Class 10 by R D Sharma (Examination 2021-22),R.D. Sharma,4.6 out of 5 stars,"1,377",₹ 540.00
Think Like a Monk: The secret of how to harness the power of positivity and be happy now,Jay Shetty,4.7 out of 5 stars,"12,673",₹ 300.00
Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,MTG Editorial Board,4.6 out of 5 stars,"1,334",₹ 562.00
General Knowledge,Dr. Binay Karna,4.4 out of 5 stars,"10,746",₹ 168.00
101 Panchatantra Stories for Children: Colourful Illustrated Stories,Om Books Editorial Team,4.5 out of 5 stars,978,₹ 135.00
"The Magic of the Lost Temple: Illustrated, easy to read and much-loved first full length children’s fiction novel by…",Sudha Murty,4.7 out of 5 stars,"2,279",₹ 149.00
Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,"19,941",₹ 91.00
My Activity- ABC Colouring Book,Dreamland Publications,4.4 out of 5 stars,"1,417",₹ 60.00
Lines and Curves (Pattern Writing) - Part 1,Dreamland Publications,4.4 out of 5 stars,"2,539",₹ 60.00
Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,"19,941",₹ 95.00
Refreshing Mandala - Colouring Book for Adults Book 1,Dreamland Publications,4.6 out of 5 stars,"3,347",₹ 150.00
The Monk Who Sold His Ferrari,Robin Sharma,4.5 out of 5 stars,"12,957",₹ 161.00
"My First 1000 Words: Early Learning Picture Book to Learn Alphabet, Numbers, Shapes and Colours, Transport, Birds and…",Wonder House Books,4.5 out of 5 stars,"1,963",₹ 199.00
"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and Richard & Judy book…",Alex Michaelides,4.5 out of 5 stars,"66,285",₹ 278.00
Harry Potter and the Philosopher's Stone,J.K. Rowling,4.7 out of 5 stars,"26,253",₹ 280.00
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.7 out of 5 stars,"31,964",₹ 370.00
"Brain Games for Clever Kids: Puzzles to Exercise Your Mind (Buster Brain Games, 1)",Gareth Moore,4.3 out of 5 stars,"4,419",₹ 199.00
Moral Story Books for Kids (Pack of 10 Books) | 160 Total Pages | Illustrated Stories,Young Angels Publishing,4.3 out of 5 stars,411,₹ 225.00
Concept of Physics - Part 1 & 2 2019 - 2020 Session (Set of 2 books),0,4.6 out of 5 stars,"1,069",₹ 700.00
Certificate Physical And Human Geography; Indian Edition,Goh Cheng Leong,4.5 out of 5 stars,"5,702",₹ 274.00
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.5 out of 5 stars,"8,551",₹ 161.00
My First ABC Sticker Book: Exciting Sticker Book With 100 Stickers,Wonder House Books,4.4 out of 5 stars,366,₹ 159.00
My Activity- ABC Writing Book,Dreamland Publications,4.4 out of 5 stars,985,₹ 60.00
The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,4.5 out of 5 stars,"22,496",₹ 539.00
505 Activities for Kids,Dreamland Publications,4.4 out of 5 stars,"2,956",₹ 165.00
As a Man Thinketh,James Allen,4.4 out of 5 stars,"2,060",₹ 59.00
The Complete Novels of Sherlock Holmes,Arthur Conan Doyle,4.5 out of 5 stars,"7,385",₹ 136.00
Colour with Crayons Part - 1,Dreamland Publications,4.2 out of 5 stars,"2,276",₹ 56.00
A Modern Approach to Verbal & Non-Verbal Reasoning (2 Colour Edition),R.S. Aggarwal,4.4 out of 5 stars,"4,864",₹ 549.00
Great Stories for Children,Ruskin Bond,4.5 out of 5 stars,"4,042",₹ 195.00
Mandala: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book),Wonder House Books,4.5 out of 5 stars,"1,031",₹ 129.00
The Richest Man in Babylon,George S. Clason,4.4 out of 5 stars,"17,077",₹ 99.00
Death; An Inside Story: A book for all those who shall die,Sadhguru,4.7 out of 5 stars,"4,488",₹ 205.00
NCERT Textbooks in English for class 12 - Flamingo and Vistas - 12074 &12075,NCERT,4.5 out of 5 stars,300,₹ 100.00
"Indian Economy for Civil Services, Universities and Other Examinations | 12th Revised Edition",Ramesh Singh,4.3 out of 5 stars,"1,451",₹ 475.00
The Blue Umbrella,Ruskin Bond,4.5 out of 5 stars,"4,634",₹ 95.00
India & World Map ( Both Political & Physical ) with Indian Constitution and Indian History Chart | Set Of 6 | Use For…,JCB GROUP,4.8 out of 5 stars,560,₹ 250.00
Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,Wonder House Books,4.6 out of 5 stars,684,₹ 159.00
Mathematics for Class 9 by R D Sharma (Examination 2021-22),R.D. Sharma,4.6 out of 5 stars,943,₹ 430.00
Ruskin Bond - Best Selling Children Story Books Collection (Set of 4 Books),Ruskin Bond,4.5 out of 5 stars,942,₹ 419.00
Pride & Prejudice,Jane Austen,4.5 out of 5 stars,"19,159",₹ 99.00
101 Panchatantra Stories,Dreamland Publications,4.3 out of 5 stars,"3,908",₹ 110.00
"Blossom Jumbo Colouring Book for Kids 3 years to 5 years old | Drawing, Coloring and Art Book for Girls and Boys | A3…",Content Team at Target Publications,4.5 out of 5 stars,634,₹ 170.00
"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.4 out of 5 stars,"11,447",₹ 243.00
"NCERT BOOK , Hornbill Textbook in English ,Snapshots Supplementary Reader in English for Class-XI (Core Course) ,[COMBO…",NCERT,4.4 out of 5 stars,48,₹ 133.00
Inner Engineering: A Yogi’s Guide to Joy,Sadhguru,4.6 out of 5 stars,"9,114",₹ 194.00
Wuthering Heights,Emily Brontë,4.4 out of 5 stars,"12,634",₹ 99.00
Mandala Art: Colouring Books for Adults with Tear Out Sheets (Adult Colouring Book),Wonder House Books,4.6 out of 5 stars,"1,010",₹ 129.00
Doodle Coloring For Girls (Doodle Coloring Books),Wonder House Books,4.5 out of 5 stars,400,₹ 70.00
Brilliant Brain Activity Book 3+,Dreamland Publications,4.6 out of 5 stars,720,₹ 138.00
Concept of Physics Part-2 (2019-2020 Session) by H.C Verma,H.C. Verma,4.6 out of 5 stars,"4,154",₹ 375.00
How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,Dale Carnegie,4.4 out of 5 stars,"10,421",₹ 106.00
Very First Sight Words Sentences Level - 2,Dreamland Publications,4.6 out of 5 stars,"1,157",₹ 120.00
365 Colouring Book,Dreamland Publications,4.6 out of 5 stars,"1,733",₹ 210.00
A Man Called Ove: The life-affirming bestseller that will brighten your day,Fredrik Backman,4.6 out of 5 stars,"25,546",₹ 255.00
"Three Thousand Stitches: Ordinary People, Extraordinary Lives",Sudha Murty,4.6 out of 5 stars,"3,060",₹ 184.00
Think and Grow Rich,Napoleon Hill,4.5 out of 5 stars,"46,008",₹ 139.00
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,4.5 out of 5 stars,"29,623",₹ 241.00
My First 4 in 1 Alphabet Numbers Colours Shapes: Padded Board Books,Wonder House Books,4.5 out of 5 stars,746,₹ 177.00
New Simplified Physics : A Reference Book for Class 12 Examination 2020-2021 (Set of 2 Volumes),S.L. Arora,4.3 out of 5 stars,"1,395","₹ 1,050.00"
My Activity- Phonics Activity Book,Dreamland Publications,4.5 out of 5 stars,"1,027",₹ 60.00
Apke Avchetan Man Ki Shakti (The Power of your Subconscious Mind in Hindi),Joseph Murphy,4.4 out of 5 stars,"2,795",₹ 99.00
A Brief History of Modern India (2019-2020 Edition) by Spectrum Books,Spectrum Books Pvt.Ltd.,4.5 out of 5 stars,"5,555",₹ 399.00
Wren & Martin High School English Grammar and Composition Book (Regular Edition),Rao N,4.4 out of 5 stars,"4,102",₹ 285.00
Introductory Macroeconomics for Class 12 (Examination 2020-2021),Sandeep Grag,4.6 out of 5 stars,430,₹ 355.00
365 Math Activity,Dreamland Publications,4.5 out of 5 stars,"1,450",₹ 120.00
My First Complete Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),Wonder House Books,4.6 out of 5 stars,"4,115",₹ 799.00
The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,4.6 out of 5 stars,"5,341",₹ 163.00
Bhagavad Gita: Yatharoop (Hindi),A.C. Bhaktivendanta Swami Prabhupada,4.7 out of 5 stars,"5,927",₹ 196.00
Autobiography of a Yogi,Paramahansa Yogananda,4.6 out of 5 stars,"3,130",₹ 99.00
Brilliant Brain Activity Book 4+,Dreamland Publications,4.6 out of 5 stars,709,₹ 138.00
A Brief History of Modern India - 2020-21/edition,Rajiv Ahir,4.3 out of 5 stars,287,₹ 311.00
Indian Art and Culture for Civil Services and other Competitive Examinations,Nitin Singhania,4.6 out of 5 stars,"2,413",₹ 507.00
The Diary of a Young Girl,Anne Frank,4.6 out of 5 stars,"2,626",₹ 99.00
All set to Read-A Phonic Reader-Level 1- PHONICS READERS- 6 books in a Box: Box set,Om Books Editorial Team,4.6 out of 5 stars,327,₹ 487.00
How to Win Friends and Influence People,Dale Carnegie,4.5 out of 5 stars,"42,996",₹ 139.00
Capital Letters ABC: Write and practice Capital Letters A to Z book for kids (Writing Fun),Wonder House Books,4.3 out of 5 stars,895,₹ 42.00
